Unnamed: 0,model_name,frozen_proportion,learning_rate,val_auc,val_accuracy,val_loss,val_precision
,ViT,0.2754188245060609,6.739868421018468e-05,"[0.8046804070472717, 0.7421169281005859, 0.7907271385192871, 0.9419851899147034, 0.9750683903694153, 0.9566605687141418, 0.9811452627182007, 0.9683147668838501, 0.9775996804237366, 0.9617730975151062]","[0.6395469903945923, 0.5687320828437805, 0.593465268611908, 0.8083832263946533, 0.8837542533874512, 0.8388440608978271, 0.9168185591697693, 0.8736006021499634, 0.9034105539321899, 0.864488422870636]","[0.9576272964477539, 1.1939250230789185, 0.9760218858718872, 0.5153698921203613, 0.337311714887619, 0.4668678343296051, 0.2779131233692169, 0.4123617708683014, 0.3237023949623108, 0.45401954650878906]","[0.7263298630714417, 0.6500412821769714, 0.622428297996521, 0.832990825176239, 0.8901939988136292, 0.8451391458511353, 0.9217334389686584, 0.8774278163909912, 0.9059270024299622, 0.8694108128547668]"
,ViT,0.2754188245060609,6.739868421018468e-05,"[0.8999031186103821, 0.9144214391708374, 0.946090817451477, 0.9366923570632935, 0.9809074997901917, 0.9723581671714783, 0.9812923669815063, 0.9685662984848022]","[0.7671179175376892, 0.7643842697143555, 0.8044779896736145, 0.8160635232925415, 0.9086175560951233, 0.8927362561225891, 0.9017183184623718, 0.8849257826805115]","[0.669416069984436, 0.6439765691757202, 0.5303932428359985, 0.633952260017395, 0.29263678193092346, 0.36186352372169495, 0.29453355073928833, 0.3964594900608063]","[0.8196259140968323, 0.8070200085639954, 0.8115024566650391, 0.8228753209114075, 0.9137523174285889, 0.8973853588104248, 0.9067016839981079, 0.8892824053764343]"
,ViT,0.2754188245060609,6.739868421018468e-05,"[0.9627252817153931, 0.839379608631134, 0.8796337842941284, 0.9742502570152283, 0.9836333394050598, 0.9636421799659729, 0.9602403044700623, 0.9772244691848755]","[0.8681333065032959, 0.6727414727210999, 0.7028117775917053, 0.8784170746803284, 0.9084873795509338, 0.8574590086936951, 0.8557667136192322, 0.9152564406394958]","[0.38540035486221313, 0.9392787218093872, 0.8501637578010559, 0.32972899079322815, 0.2608586847782135, 0.43969181180000305, 0.47331827878952026, 0.3233194053173065]","[0.9140670299530029, 0.719994068145752, 0.7140941619873047, 0.8889479041099548, 0.9143948554992676, 0.8617650866508484, 0.857573390007019, 0.9175271391868591]"
,ViT,0.3416600880841937,0.0006614130182512,"[0.13330179452896118, 0.21206730604171753, 0.7142680883407593, 0.8302815556526184, 0.7708319425582886, 0.9770396947860718, 0.45404163002967834, 0.7189875245094299, 0.6668233871459961]","[0.05089820176362991, 0.15725071728229523, 0.5900806784629822, 0.6649309992790222, 0.6206716895103455, 0.9052330255508423, 0.07003384828567505, 0.5364488363265991, 0.5192658305168152]","[2.8343663215637207, 3.0521907806396484, 1.148070216178894, 0.8570556044578552, 1.0296889543533325, 0.33750835061073303, 2.3875296115875244, 1.3003835678100586, 1.515307903289795]","[0.05089820176362991, 0.1719529628753662, 0.7028310894966125, 0.8457516431808472, 0.788874626159668, 0.9154704809188843, 0.06146381050348282, 0.5703020095825195, 0.552360475063324]"
,ViT,0.3416600880841937,0.0006614130182512,"[0.3378376364707947, 0.9088994860649109, 0.11206315457820892, 0.9483445286750793, 0.21904964745044708, 0.760934591293335, 0.9729099273681641, 0.8769643306732178, 0.9321380853652954, 0.5573553442955017]","[0.27011194825172424, 0.7767508625984192, 0.06899245083332062, 0.8214007019996643, 0.15920333564281464, 0.6034886837005615, 0.8591512441635132, 0.6848477125167847, 0.7843009829521179, 0.40991929173469543]","[2.1886160373687744, 0.6088343858718872, 6.650915622711182, 0.45498016476631165, 3.4514853954315186, 1.0296188592910767, 0.32091382145881653, 0.761748194694519, 0.5172929763793945, 1.5113282203674316]","[0.28831377625465393, 0.8872557282447815, 0.0685148537158966, 0.927666425704956, 0.17936336994171143, 0.7903517484664917, 0.9391370415687561, 0.7740585803985596, 0.8485612869262695, 0.522345781326294]"
,ViT,0.3416600880841937,0.0006614130182512,"[0.1425463706254959, 0.12351896613836288, 0.9790897965431213, 0.7646319270133972, 0.22826775908470154, 0.3391687572002411]","[0.07888570427894592, 0.0699036717414856, 0.8773756623268127, 0.6331684589385986, 0.14931008219718933, 0.23418380320072174]","[2.254589080810547, 3.589303493499756, 0.29709047079086304, 1.0214316844940186, 2.3709185123443604, 2.5293900966644287]","[0.07027309387922287, 0.07225433737039566, 0.9196391105651855, 0.8257130980491638, 0.32098764181137085, 0.2906394898891449]"
,CNN,0.5546641977822717,0.0006144028257093,"[0.6312176585197449, 0.8922868371009827, 0.9218066334724426, 0.8492383360862732, 0.9046414494514465, 0.8900453448295593]","[0.5158812999725342, 0.7759698033332825, 0.8066909909248352, 0.7313199639320374, 0.7711533308029175, 0.7940640449523926]","[1.1992456912994385, 0.6741884350776672, 0.5645027160644531, 0.7924803495407104, 0.6544275283813477, 0.6983038187026978]","[0.5695266127586365, 0.9138253927230835, 0.8882978558540344, 0.788455605506897, 0.8325532078742981, 0.8563209176063538]"
,CNN,0.5546641977822717,0.0006144028257093,"[0.8419119119644165, 0.8704113960266113, 0.8629348278045654, 0.8403068780899048, 0.8814608454704285, 0.88616544008255, 0.9494694471359253, 0.8949307799339294, 0.9572886824607849, 0.9458587765693665, 0.9690079689025879, 0.9295342564582825, 0.9690306782722473, 0.9565046429634094, 0.9495365023612976, 0.9616559147834778]","[0.7068471908569336, 0.7468107342720032, 0.7472012639045715, 0.7133558988571167, 0.7620411515235901, 0.7556625604629517, 0.8388440608978271, 0.7809164524078369, 0.8484769463539124, 0.844701886177063, 0.8853163123130798, 0.8154126405715942, 0.8919551968574524, 0.8411871790885925, 0.8618849515914917, 0.8573288321495056]","[0.802132785320282, 0.732643723487854, 0.755364179611206, 0.7774130702018738, 0.6832790970802307, 0.6989068388938904, 0.45161065459251404, 0.6439915299415588, 0.4110774099826813, 0.4620128870010376, 0.33835506439208984, 0.517257809638977, 0.33817723393440247, 0.7333722114562988, 0.4367467164993286, 0.4201659858226776]","[0.7806258201599121, 0.8536996245384216, 0.8186180591583252, 0.774940550327301, 0.8280072212219238, 0.7994972467422485, 0.8840143084526062, 0.8370291590690613, 0.8645861744880676, 0.8601831793785095, 0.8981963992118835, 0.8341708779335022, 0.8979942202568054, 0.8532958030700684, 0.8700557351112366, 0.8673509955406189]"
,CNN,0.5546641977822717,0.0006144028257093,"[0.6008029580116272, 0.8950858116149902, 0.8118006587028503, 0.913868248462677, 0.7776408791542053, 0.8334181308746338, 0.8741300106048584]","[0.4665451645851135, 0.7962769865989685, 0.6765165328979492, 0.820749819278717, 0.6353814005851746, 0.6983858346939087, 0.7404322028160095]","[1.1423444747924805, 0.6672034859657288, 0.8774991631507874, 0.6401645541191101, 0.8904143571853638, 0.8048130869865417, 0.7111819982528687]","[0.6604391932487488, 0.9103630781173706, 0.8104274272918701, 0.908915102481842, 0.8600814342498779, 0.7740996479988098, 0.8864462375640869]"
,ViT,0.1820520631938856,0.0006124328934935,"[0.11228270828723907, 0.6832491755485535, 0.1081424206495285, 0.9656194448471069, 0.12413156032562256, 0.6253780722618103, 0.3234328031539917]","[0.051028378307819366, 0.528508186340332, 0.05089820176362991, 0.8631866574287415, 0.060400936752557755, 0.464852899312973, 0.21088258922100067]","[3.509009838104248, 1.2857799530029297, 3.800832748413086, 0.4520265460014343, 5.656051158905029, 1.1783291101455688, 1.759516954421997]","[0.07174888253211975, 0.6295964121818542, 0.05211248993873596, 0.9389037489891052, 0.06514564156532288, 0.7126781940460205, 0.35559678077697754]"
,ViT,0.1820520631938856,0.0006124328934935,"[0.9284645318984985, 0.8598884344100952, 0.7919515371322632, 0.7681989669799805, 0.9277984499931335, 0.8076727986335754, 0.7056266665458679, 0.8824809789657593]","[0.869304895401001, 0.727544903755188, 0.6670138239860535, 0.6170268058776855, 0.7849518060684204, 0.5969799757003784, 0.4910179674625397, 0.6982556581497192]","[0.8169378638267517, 0.7594892978668213, 0.9051648378372192, 0.928659200668335, 0.5294797420501709, 0.9421713352203369, 1.2461634874343872, 0.7160665988922119]","[0.869304895401001, 0.8478301167488098, 0.8213923573493958, 0.7906342148780823, 0.8981841802597046, 0.7633832693099976, 0.5749469995498657, 0.7155676484107971]"
,ViT,0.1820520631938856,0.0006124328934935,"[0.9459028244018555, 0.4948456883430481, 0.7805947065353394, 0.9298509955406189, 0.940653383731842, 0.7740654349327087, 0.6820718050003052, 0.9450639486312866]","[0.8349388241767883, 0.1282218098640442, 0.5058578252792358, 0.7889872193336487, 0.7844311594963074, 0.5682113766670227, 0.4944024980068207, 0.7934131622314453]","[0.5420470833778381, 1.104560375213623, 0.8166946172714233, 0.526781439781189, 0.49331045150756836, 1.0770044326782227, 1.1743627786636353, 0.5019238591194153]","[0.9338521361351013, 0.16870228946208954, 0.8533370494842529, 0.9473780989646912, 0.8724044561386108, 0.6378170847892761, 0.6025688648223877, 0.802177369594574]"
,ViT,0.4365932219581031,1.3121840790681009e-05,"[0.9350207448005676, 0.9693138599395752, 0.9638323783874512, 0.986378014087677, 0.975924551486969, 0.9826293587684631, 0.9821456074714661]","[0.8203592896461487, 0.8715178370475769, 0.8626659512519836, 0.9146055579185486, 0.8890913724899292, 0.906534731388092, 0.9078364968299866]","[0.5026008486747742, 0.34341517090797424, 0.3777324855327606, 0.22800132632255554, 0.3308628499507904, 0.2643904983997345, 0.2771717309951782]","[0.8600115776062012, 0.891348659992218, 0.883025050163269, 0.9236387610435486, 0.897286593914032, 0.9158271551132202, 0.914150059223175]"
,ViT,0.4365932219581031,1.3121840790681009e-05,"[0.9095355272293091, 0.9767074584960938, 0.9685376286506653, 0.9815730452537537, 0.9796750545501709, 0.9668129682540894, 0.9859157204627991, 0.9688969850540161, 0.9740151166915894, 0.9779184460639954]","[0.777271568775177, 0.8864879012107849, 0.8668315410614014, 0.8956000804901123, 0.891044020652771, 0.8687841892242432, 0.9209840893745422, 0.8838844299316406, 0.891044020652771, 0.9100494384765625]","[0.6008539795875549, 0.3006707727909088, 0.36137571930885315, 0.2675831913948059, 0.29246705770492554, 0.3912598788738251, 0.23623085021972656, 0.35889196395874023, 0.3309629559516907, 0.2975221872329712]","[0.8326064348220825, 0.9104030728340149, 0.8843353986740112, 0.9137466549873352, 0.8993226289749146, 0.8779841065406799, 0.9259405136108398, 0.8929424285888672, 0.8967018723487854, 0.9157244563102722]"
